modelo,km,color,precio
Detalles TESLA Model Y (2024),5.000 km,Gris,50.900 €
Detalles TESLA Model 3 (2021),60.000 km,Azul,33.990 €
Detalles TESLA Model S (2018),61.000 km,Plata / Metalizado,30.995 €
Detalles TESLA Model X (2019),51.426 km,Gris / Metalizado,55.900 €
Detalles TESLA Model 3 (2021),33.340 km,Negro,33.950 €
Detalles TESLA Model 3 (2019),88.000 km,Gris / Metalizado,24.900 €
Detalles TESLA Model S (2019),188.000 km,Negro / Metalizado,23.000 €
Detalles TESLA Model 3 (2021),30.686 km,Gris,34.990 €
Detalles TESLA Model 3 (2020),116.000 km,blanco,29.900 €
Detalles TESLA Model 3 (2019),95.000 km,Blanco,23.900 €
Detalles TESLA Model X (2017),125.000 km,Granate,38.900 €
Detalles TESLA Model Y (2024),14.000 km,negro,52.900 €
Detalles TESLA Model X (2020),14.000 km,Negro,69.900 €
Detalles TESLA Model X (2018),109.000 km,rojo,49.900 €
Detalles TESLA Model 3 (2022),48.523 km,Blanco,43.900 €
Detalles TESLA Model 3 (2019),125.000 km,Rojo / Metalizado,27.900 €
Detalles TESLA Model 3 (2024),1 km,blanco,49.900 €
Detalles TESLA Model S (2014),32.000 km,Marrón / Metalizado,32.000 €
Detalles TESLA Model X (2020),35.000 km,azul,49.999 €
Detalles TESLA Model 3 (2020),113.000 km,Blanco / Metalizado,25.450 €
Detalles TESLA Model Y (2022),32.000 km,Negro,59.990 €
Detalles TESLA Model 3 (2020),117.000 km,-,28.950 €
Detalles TESLA Model 3 (2021),65.000 km,negro,39.900 €
Detalles TESLA Model 3 (2020),26.000 km,Blanco / Metalizado,29.850 €
Detalles TESLA Model 3 (2021),88.000 km,blanco,26.900 €
Detalles TESLA Model X (2017),320.000 km,Rojo,32.990 €
Detalles TESLA Model 3 (2019),137.183 km,TESLA Model 3 Gran Autonomia AWD 4p. Dual Motor / Metalizado,25.000 €
Detalles TESLA Model 3 (2019),169.800 km,blanco / Metalizado,28.990 €
Detalles TESLA Model 3 (2022),58.000 km,blanco / Metalizado,35.900 €
Detalles TESLA Model 3 (2020),113.000 km,Blanco / Metalizado,25.450 €
Detalles TESLA Model 3 (2021),93.000 km,Azul / Metalizado,25.850 €
Detalles TESLA Model S (2022),19.000 km,Gris,38.000 €
Detalles TESLA Model S (2015),175.000 km,Gris / Metalizado,28.000 €
Detalles TESLA Model X (2023),10.000 km,negro,84.900 €
Detalles TESLA Model 3 (2020),26.000 km,Blanco / Metalizado,29.850 €
Detalles TESLA Model Y (2022),38.000 km,negro,41.900 €
Detalles TESLA Model Y (2024),23.000 km,Negro,35.900 €
Detalles TESLA Model Y (2024),7.925 km,Blanco,46.990 €
Detalles TESLA Model 3 (2019),89.990 km,-,22.800 €
Detalles TESLA Model 3 (2022),49.900 km,blanco,37.500 €
Detalles TESLA Model S (2015),170.000 km,-,27.550 €
Detalles TESLA Model 3 (2020),128.000 km,Gris / Metalizado,24.850 €
Detalles TESLA Model 3 (2019),131.000 km,-,24.350 €
Detalles TESLA Model 3 (2019),53.000 km,Blanco / Metalizado,27.990 €
Detalles TESLA Model Y (2024),10.778 km,Negro,36.500 €
Detalles TESLA Model Y (2023),25.000 km,-,44.500 €
Detalles TESLA Model 3 (2020),120.000 km,blanco,27.500 €
Detalles TESLA Model 3 (2021),56.000 km,Blanco,35.500 €
Detalles TESLA Model X (2017),129.200 km,Negro / Metalizado,44.900 €
Detalles TESLA Model 3 (2022),134.500 km,-,25.050 €
Detalles TESLA Model S (2023),39.980 km,Gris,78.990 €
Detalles TESLA Model 3 (2023),55.852 km,Gris,38.390 €
Detalles TESLA Model X (2019),58.500 km,Azul / Metalizado,49.900 €
Detalles TESLA Model 3 (2021),57.000 km,Blanco / Metalizado,28.990 €
Detalles TESLA Model 3 (2022),63.000 km,Azul / Metalizado,25.990 €
Detalles TESLA Model S (2014),233.000 km,Rojo,21.990 €
Detalles TESLA Model S (2015),98.000 km,Marrón / Metalizado,25.990 €
Detalles TESLA Model S (2018),107.000 km,Plata,44.900 €
Detalles TESLA Model Y (2022),51.900 km,Blanco,41.900 €
Detalles TESLA Model X (2019),54.500 km,Negro / Metalizado,59.900 €
Detalles TESLA Model S (2019),39.000 km,Rojo,38.900 €
Detalles TESLA Model S (2015),188.000 km,Blanco,24.550 €
Detalles TESLA Model 3 (2021),43.000 km,Azul / Metalizado,37.000 €
Detalles TESLA Model 3 (2023),55.000 km,-,35.950 €
Detalles TESLA Model 3 (2021),27.000 km,-,35.400 €
Detalles TESLA Model 3 (2021),78.713 km,Azul,24.995 €
Detalles TESLA Model S (2017),118.900 km,Gris,25.800 €
Detalles TESLA Model 3 (2019),73.000 km,Gris,25.000 €
Detalles TESLA Model 3 (2020),124.650 km,Blanco,21.800 €
Detalles TESLA Model 3 (2020),128.084 km,Gris,21.500 €
Detalles TESLA Model 3 (2020),129.446 km,Azul,21.500 €
Detalles TESLA Model 3 (2021),72.000 km,Negro / Metalizado,28.475 €
Detalles TESLA Model S (2017),109.000 km,Negro / Metalizado,26.475 €
Detalles TESLA Model X (2018),89.179 km,GRIS,41.790 €
Detalles TESLA Model S (2019),49.000 km,Negro,45.900 €
Detalles TESLA Model 3 (2022),53.000 km,Gris / Metalizado,27.950 €
Detalles TESLA Model 3 (2022),48.000 km,Negro / Metalizado,33.850 €
Detalles TESLA Model 3 (2022),48.000 km,Negro / Metalizado,33.850 €
Detalles TESLA Model 3 (2019),150.000 km,Negro / Metalizado,21.995 €
Detalles TESLA Model 3 (2024),421 km,Blanco,37.990 €
Detalles TESLA Model 3 (2022),57.000 km,Azul / Metalizado,27.950 €
Detalles TESLA Model 3 (2022),53.000 km,Gris / Metalizado,27.950 €
Detalles TESLA Model 3 (2022),65.000 km,Azul / Metalizado,27.850 €
Detalles TESLA Model 3 (2022),65.000 km,Azul / Metalizado,27.850 €
Detalles TESLA Model 3 (2023),12 km,Gris Plata / Metalizado,37.990 €
Detalles TESLA Model 3 (2019),140.000 km,Negro,27.500 €
Detalles TESLA Model 3 (2019),70.000 km,Blanco / Metalizado,25.999 €
Detalles TESLA Model 3 (2022),39.398 km,Rojo,32.990 €
Detalles TESLA Model Y (2022),28.400 km,Otros,34.990 €
Detalles TESLA Model X (2018),84.179 km,Gris,43.990 €
Detalles TESLA Model 3 (2020),84.188 km,Blanco,28.490 €
Detalles TESLA Model 3 (2021),123.603 km,Otros,31.990 €
Detalles TESLA Model Y (2022),28.400 km,Otros,34.990 €
Detalles TESLA Model S (2020),66.066 km,Negro,56.990 €
Detalles TESLA Model 3 (2023),44.998 km,Blanco,31.490 €
Detalles TESLA Model Y (2021),96.000 km,Rojo,33.420 €
Detalles TESLA Model 3 (2020),84.188 km,Blanco,28.490 €
Detalles TESLA Model 3 (2021),123.603 km,Otros,31.990 €
Detalles TESLA Model S (2023),4.430 km,Blanco,85.200 €
Detalles TESLA Model 3 (2023),23.000 km,"Tesla Model 3, edición 2023 / Metalizado",34.500 €
Detalles TESLA Model S (2014),97.000 km,-,24.750 €
Detalles TESLA Model X (2017),90.900 km,Negro,36.900 €
Detalles TESLA Model S (2018),114.000 km,Negro,32.500 €
Detalles TESLA Model X (2016),91.000 km,Blanco,43.900 €
Detalles TESLA Model S (2016),114.000 km,Gris / Metalizado,27.995 €
Detalles TESLA Model 3 (2021),63.776 km,Blanco,32.990 €
Detalles TESLA Model Y (2024),7.000 km,Negro,47.990 €
Detalles TESLA Model X (2023),9.094 km,Blanco,83.000 €
Detalles TESLA Model 3 (2022),62.000 km,Azul,30.490 €
Detalles TESLA Model X (2020),34.162 km,Blanco,61.490 €
Detalles TESLA Model 3 (2022),68.000 km,Gris,29.490 €
Detalles TESLA Model 3 (2019),123.000 km,Rojo / Metalizado,29.990 €
Detalles TESLA Model S (2023),15.040 km,Blanco,87.400 €
Detalles TESLA Model 3 (2020),74.862 km,Gris,37.990 €
Detalles TESLA Model 3 (2020),49.990 km,Rojo,26.490 €
Detalles TESLA Model 3 (2022),57.000 km,Azul / Metalizado,27.950 €
Detalles TESLA Model 3 (2024),16.500 km,Rojo,44.900 €
Detalles TESLA Model S (2018),68.295 km,Negro,35.500 €
Detalles TESLA Model S (2019),89.500 km,Negro,42.890 €
Detalles TESLA Model S (2016),68.867 km,Negro,32.490 €
Detalles TESLA Model S (2018),94.000 km,Gris / Metalizado,39.900 €
Detalles TESLA Model 3 (2021),57.522 km,Rojo,34.400 €
Detalles TESLA Model 3 (2021),44.900 km,Gris,31.990 €
Detalles TESLA Model 3 (2021),36.000 km,Blanco,32.990 €
